address,amount
0xbc9d81997e612975c5dcdeb114094de922522b38,22.50
0x4a155915cd681510ee1adf766ba43a0fa8792ad5,22.01
0x0c161669c792ada23b5c016fe7071391c645bb51,21.88
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,21.02
0xe4e6fe3d54863cda33e0ad5319e4ec6bc0a61269,20.79
0x7e3fb6f940d6b34dc95533cb219704d220b9dc58,20.48
0x2665a41e33cc6a86a7e465b8a8a6f77659a82afc,20.43
0x38d7f0ccc0e0f9335039d79ffbd9858393d2aa80,20.12
0x4a18cee8cda7bc6839c09b4f671ec7d263854029,19.61
0xdebecda49e945a1ccda0c0a118172cfcfa33a2e1,19.54
0x720610ed4925676d971b0ae5b3080bd233e19038,16.56
0x060ebfa062baaa76b58a77abeccd42882107a52e,16.53
0x51b5f6f704c2877d274825998b4f56bad3225b2e,16.47
0xa4e3e6917da1067f917ac976b26bc1202e9dfebd,15.56
0xbb64703c0487fcd073d47c23b0f01f207614125d,15.24
0x8b3f14f0582fbf275be87d265c931b4dfd5f13b7,14.49
0xae1490e624f7debc57cfae72621c559e75971512,14.35
0xc3f8d7ef9946a6cad5de2120bf47accfb225364d,14.33
0x4785897d46d633dd0502518706fe6f169b74d480,14.27
0x918cc89e16ee2d65a4fccade5ad5da489733c810,14.14
0x447c7ed1e43dde4bb7a84bbd45a0ccf7b2fbcc43,14.10
0xa9503a8763f05b6bd068d4c5c8645e1869092818,13.95
0x5169a46cf0b99c0c1e8d078d3b9f9b6ed9a215ea,13.90
0x36baa0b4eb9b842604beb3c6f31230cff1101a8e,13.90
0xd0ef3a2ae7fb496c0897400f1be46693b6183b0a,13.77
0x3ea15b1f03966410871d5fdf45c1e05feda54e1e,13.76
0xd5eb82b437022b3cb60b0ff97ab99fbcde03a53c,13.71
0x1279318ce3f4e00f88bbe8c2834c2454c6e9c778,13.20
0x861aa73901f82e25a8951f046fa0f53700f5116c,13.12
0xf3f16b9abef29dc4e7522cc5cce3c4d09b7616b1,13.04
0x221698db85dae3e38fdff8e39bc0b0c66e611121,12.91
0x0955cfd6961b287ee370f4e135c8f2a5d1d4c763,12.89
0x25e13ceba4b4bce10624f1569369bcb8eeffe88c,12.59
0x34b85191c04503f749240f7bb52bbecbb6d40e1c,11.84
0x11e8c073f377a8dab78b6897616efcbea19dfd9f,11.65
0x9ffa32e1daa12e59adefccea6e21bb59285607e2,11.54
0x3b709d4cd9dab2c93e29cd4b3157e2221cd50ff4,11.03
0x6652e9030258e9aa5baf0f59917e19e591c707c1,10.98
0xd412b18d80695cec99f0836d59cfc032825541e3,10.95
0xe19c152136fb1ba5dbc2e2872bf081baa0751172,10.89
0xcef730655e4396862d45556515d18bb8b9a0ea8e,10.89
0xd4834f4071525a5672e17cd6644ce72559a34338,10.54
0x6daad19fa7ce8b797f52e51e645474150f0db4b4,10.52
0x32e9c27344474db5344033531341df384de7f2c4,10.50
0xe11ad4d81aac2fcdbf123f7a08286c265fd1f827,10.39
0xecaa758ea35adf7a07b672be9753ae285dbcccb7,10.32
0x6a250de6ee8269af9d01ddab3a36ba01b6c7b849,10.27
0x6df137e629792df6a1d728cb9069389ef2f63587,10.22
0x6ba6b7ae93fdb8fecd58c2d2f95cfff5dd80aa97,10.18
0xbc57e26eee104b767956e443966108ba3c5db444,10.14
0xfb6fb821154f6c4d4dfd01fa8cb860cb07fd1ba6,10.07
0x0573b40eff4d28f2ba70a83363833f97cd9cb38d,9.98
0x3bbc7dd3b57ea725985bf0da33adde731f4c7295,9.97
0xcd45728b073b1568a9f94f3af453b9c28105f779,9.87
0x212d5d36a67ead24d851094a0fb64779cc25a7d1,9.86
0xa6d873a90cd349f9905d09019c6cc7e03140bbc4,9.79
0xf41f1ea533bae1d8eafc0207719649ca9a323058,9.65
0xdc615c8b3d2e5811dfec2c3c820b54a524a1ccc3,9.63
0x7626ff1770a859eda11e5a2d037cfa3bf58c370f,9.51
0xeb3f3f5b1ec4430451059cb6bddc984f723c037a,9.30
0x446966144926f61ced82c7b673ed102137edcf5b,9.21
0xed4d21ba769b6b92e6fac46c0fb4cd40ffd12ea5,9.19
0x9f3d352cae9cb98a3a469534a81b8fc1e6b281a8,9.08
0xd5cbc5ec09436f8b5b2d6fdd394ade0029b97252,8.79
0x437e76922a42ce2db362c745a585f4d54c357593,8.61
0x7898807ee44e0112f93cd39b0a6a10b4dd2f26ec,8.56
0x0c172cb40b66061d5fec800380f122c933b11fc5,8.52
0x03c36eb88183cea1b278957736f8940ca40e6fc1,8.39
0xa7386017abc723aed0fe779f3cca768d76d56c91,8.33
0x8b614e51fa80109b6cd35c1ea631c1d680db93d9,8.32
0xceda45d4c10b51f0cf6608c6cd5810bd5792a8a9,8.30
0xbcbeaf007470cbdf608c5755d9b8692343d2cb6f,8.27
0xe8aea7186e064eda2aca269c3ccdd5c1acf2a8b5,8.20
0xac0c3f0212865e8b242e72f5a4663e13d609654e,8.20
0xfafc2299e8576b0404f01cedc26f1a678e0d9877,8.11
0x34d5da9605f59ebe7238eca72fa3184714c75979,7.99
0xc71e1f808b691b4ca955ebaf46eab5430189e212,7.98
0x2fd34cba9b1a35a12cd1007bef00a747fd3c5a31,7.90
0x7a6d2206f69efd8806caa282435fbf324a8ca530,7.75
0x61ea88423e3ed377ee3a46a5b119ee9451de8eee,7.67
0x31cb86bd10d436c1440157382ed11fc73dde467e,7.66
0xddc1aac91b1325b3c0ac114caa1be58273e985e0,8.94
0x629a6c0ca5525524714fdda6a561369da97be751,7.55
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,7.47
0x7c28a4780e4ffd835a9c106e5f41b906c1931420,7.44
0x245858182d31b2edffaa2af0f61568ade78a6b84,7.39
0x15f84e3d0e8947eb3b438936416235241ba2b0f6,7.27
0xb31ec31fb8a0cd5cd36d18aec69dcb6d9b678f8f,7.22
0x448ebe45cf2b494896dec9f21cd42084a5488003,7.14
0x167f2359734c5fcb69c8ce9d9710196e3a6a8fe9,7.14
0xfe08945f392cf1873f2c5b1bd7c7401e452153a8,7.07
0x736c787c7dd6c0f76d1c0d918ea3c26abcc97c28,7.05
0x099044f0c1ceb85bc34c30efeac97e4bf4b684ce,7.03
0xb96faea793941cb22501f624d050baf699413dec,7.03
0xd3af63bf3d58f2142e544f72551181ec72ccf10d,6.97
0x9b66e7c53ec412528417316a3e462e75afcc61a3,6.95
0x03413e013064aaaecadc9b6f7ff508290ea9ab7d,6.93
0x18dab61784283fb0e52c94da097e7d0bef92a222,6.92
0xe81732898ed0d1cee9a3dc90def3866a1cdf471d,6.92
0x0a5aafb8ea3b8c48f2d133332ecacdd802b8a953,6.91
0x221c90e2b911931f775ba0ff3a25d26509a13edf,6.90
0x8d2a9f5e630bbc008ffbc80b695afce1af79cd5e,6.90
0x80c8f183ff6f9fd4ea783dcd9178b9c196096b8a,6.88
0x786f2139a622632a57baff7df2b23757c7e2df54,6.88
0x1c887676d87749262943a8dd1eaa5686ba9c2cab,6.84
0xbda60cf87122df83ef293bd591958d80f69e7ef7,6.84
0xf7e6c7551d8d9bd3d1f0e3eac7cf10fcb52d1bdb,6.83
0xbed7894de95a8216e84d9ef582b786ac30a752ca,6.83
0x57ffb07825f23829c9c7a5be1e294fd199151eff,12.13
0x90827959bb2a53827f1e640d5c05987fd1eea7cf,6.81
0x7880dce779108bdbc374f18f74d193550de8c621,6.79
0xaaebd5e490a3d624f3e8147542f43fbcf8223acc,6.77
0x046fc56ace7e53879a59c389d95c20c22add3c88,6.76
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,6.76
0xfe95401584a1b7610dc9a1d9566dc29a507a74cd,6.75
0xf65f7cd48fc46ce7a308fa32b77772b6a4f2dc97,6.72
0x9b46a8599960208b33694e72a70a18d67c9ae041,6.72
0xec12693218f52de763fb1b1837c576ef4fc2e3eb,6.69
0xde4ece845e1a6f2da9f203ed7cfdd22a191843b8,6.68
0xb81e467d133e9dcbc87ec347d88e23b5b86555b6,6.65
0x3779865b33116a9d5ac21cd650ecfa5ee1784e53,6.63
0xec5c0f3fac5a5d5cdae894361dce1e83fb036f62,6.62
0x3f98fe29a7788a87fe3effa2b3985b20c6129e1e,6.61
0x59ec0edb51ab373c94e1f93fa3cdaaa94aae582b,6.56
0xbf87a3b975705809fad47a149850828b4a433f5e,6.59
0x3861a12b57dea1cfd4ca816663b60875c7f8ddbf,6.45
0x3cc174e29e29956e15a337dadf074a73d98d6eba,6.43
0xec60479a83c541be8ee05c9be71c5fe2a20eccb8,6.43
0xabcb252df3644f118b2bb286241a7234b63b057c,6.41
0xb2f5e5dc63a3c0b7471595a94a782d23772c8d1b,6.36
0x9edba74460ad6b40b40809b2228982c56e3e890b,6.34
0xf51b65254a4d469543dedb649bf095daa50539fc,6.33
0x4bfa3324bdac2367dba667dbf64af5b8f13c1feb,6.26
0xfc676d246de585969ac1f89f135a371f2bc0ac97,6.24
0x20e60338e5f625e077955d13ffea1af1a9e8826b,6.22
0x16986a9cf326df6e87d172c7e5ac96f8fddad961,6.20
0x4e646ae030ec01d6eab2c4783ee1b0ba23ec7d7d,6.20
0x1d715219f5ef39d5b6313309179a9e09ad1d865e,6.20
0xdcdf1c5c80ef4244a30fc84e39c6dcf5d60e82fa,6.20
0x3b37a486a7e84c6bf4a8e5d70657f951f3a1c23b,6.19
0x0d33725c809a70f6e2c6c65c68a45159b9d2960b,6.19
0x4c5064f0ef054e6c4aebee738d03110562ef5d1b,6.16
0xa9ba810a5049e39f4f7647e0f4b26d2532622e1c,6.16
0xe035d6d2bcade754982085f8a52662277f8d8c0d,6.14
0x59430c911f12e942ec630b5b3ebbe88be7d80f22,6.13
0x28b334b1baf64597204626bdc793f215a919fc90,6.13
0x08e1b89e9e107328c789b2e39ed74b6958e3041c,6.13
0xeb1ca9b281d129175c690a6b4da8eb9569d1475f,6.13
0xa90a55cf8c598e3c3958b07f2c9023b32983b7c7,6.13
0x93966292580b36a95e306fc33854e88c1ea3011b,6.13
0xa78720efb25eaf53a1ece902ac36dfe75732f3f8,6.11
0xd64d9f5b9050a634ef9d0089d22766a36ca8a2aa,6.11
0x8f5943d5a4d1e1d7a1b3914a44138810051bee5c,6.10
0xd87b2a559a1f6ac38a53e4ed41c3a704b0511465,6.08
0xbfd139dd89b84f45d9ed02bbf743f584da44f4fe,6.05
0xdad807f898e68b9ff6147e7ff45b438b02ddb96f,6.00
0xa43931484e8ab6887c152d4788c5292f825abea0,5.98
0x1b2c16ab3f73314393019c326024feb2f8aa2ac8,5.96
0x400cc92925c48a04d2e214a150440cd7e68805b1,5.95
0xe640b7c0d3fcaabf4058610cdc33214a060de9c1,5.94
0xace0cfa6db7f70fa65d7780ef5d0b3b598481ef1,5.89
0x7ecbb34675eedfbd7e6963b3b8287263ad1fa1b9,5.82
0x0c9eed14d5f41bdae840cc188bae5540bc725ddf,5.71
0xae9c1768f1ef7e772b90766a0cd25934ab870e8f,5.64
0xdd3aaaeb5a7f2554617cb5b9061c1513d30a403d,5.58
0x7354b706f81381ef14ebaecb4bb7b28316b0db97,5.55
0xed7135f07c13a8918f5706196ddf48d05e239620,5.49
0xe9a142a272c94b95b21e74dc6bf3104ba56d5aed,5.34
0x1b671749c82bb59e30d6cb2f2bb1358132507eaa,5.25
0x491f3f53a45879f874873394f21b9ad3509e67f2,5.19
0x84672cc56b6dad30cfa5f9751d9ccae6c39e29cd,6.16
0xefc11589c61656214c8fab2bdbba83a52c988c0c,4.74
0xbef83f90dd56df2929ac00e8d28eacdea2058ada,4.69
0xb774b8d2967f3694c3de21e0edd2c6c8281ffb85,4.48
0x6f22cf06501e91a496b9461f785b95a9b51ef2e8,4.38
0xbe0bfa8da7f0602bcfe24c72e5e265ae204f5983,4.33
0xcc47928806a9b9e3e5c928d3ad2eac2b33182e0f,4.33
0x73b596b6198cefbd30b0a3bfe7579ee5100da34c,4.32
0xa3f6b8d7e0ad44be72e068acbc167d216555fbb4,4.31
0x1af95a406e92943adc063c503613a6feae9f3b35,4.30
0x8076e868865d6344591b5462fda466104bc825cd,4.09
0x1bd3896ea2c76cde7b3499b9709ea0b32b0fae90,4.09
0x044e9bd003f8c986fbc8e11b10aba1e3c3f73475,4.09
0x052b491a1a436efd097a57966a0d87800d16701e,4.09
0x0b47b1ec9d415d88d4de4577c82f66d904d2c4d3,4.09
0x42c1fb87419e4034dacf1231f88aa74b25f723b4,4.09
0x42db53c0e11f575acd6e058cc5abb74bc0369773,4.09
0x448581ab39168abd6b978a56ecc87297ec0448e1,4.09
0x45e5d313030be8e40fceb8f03d55300da6a8799e,4.09
0x49fa75e4cb606db86afdf253a5677833a760589d,4.09
0x690332c7735c55f940ce21600fb1f7fa3fe4d4dc,7.71
0x80aa8621575e11bfa91ecc55d1dc795fb2f3bb82,82.70
0x9b19af2ddce2f38b1b3b8b775f57e196c93ce661,4.09
0xa84caa085ea9a05e1f55256eeab6bd19042e40c6,149.68
0xb138824b2b5ddeeeb65a4452f40249d1e4ffba9d,4.09
0xb2c35530d58053ca380548468a4d30e8f3957114,4.09
0xc01c2956231963ed3daf454ede53c3764bca1f68,7.58
0xc2ba2b009a9a8f12fdabed184412120fb072d620,4.09
0xc86a24b95e34ad68584cd8a3323f87d64f474225,4.09
0xdf00a94c9c7f68b555a902f5d34a820979028111,4.09
0xea2048b7cf6831e307ea80ee960b03d4422dda65,4.09
0xed14dbdc209c6ab64d26e3bf8f3cc3d577ef696e,9.97
0xefa4cc3d0d3fd56a82091017127e6459c9764294,4.09
0x7cbdc39d3bf3a07d3a9f6080709991182930c60d,4.09
0x1b9e7860611395cf6d7d5a46a87522158e47c926,4.07
0x59dfe688c8d8505f02d391332dde01ad62da5d51,3.92
0xbd6c7b0d2f68c2b7805d88388319cfb6ecb50ea9,3.80
0x32b9e4e93f9c7eae4d114f98e6b9c44215ac8017,3.76
0x928fbb56394ca7f6569639a99e4c2584db82b67d,3.71
0x885573edb41a676ec1cff6c9f6407d714dc5cd36,3.68
0x9e2363e885ed2f1a65df589d99723458c637a3af,3.56
0x996d2565af850490a1ab01e29c8653e4abaceb51,3.30
0x61300de79422a18b69fd3afe4238ec5aa1df0635,3.24
0x03743daee1f2386c9f09bbc2c50b3ba81f7d97ed,3.15
0x9a5a8778101247c36d8155a34fc2cca6b2a94159,3.11
0x97629813364586d0a553da77ad376ee8ca1e7970,3.11
0x93583b69c3db61ea15755be0d4c49f558147a650,3.07
0x8402c27da64fef68847fc1861b112d6107f3c60e,3.04
0x63c833c738534e0bf4dd9a8b4fd8ed0fd6d70d1f,2.93
0x3e904229236a93e5ac6ed5bcd2dbca5378e8d80a,2.91
0x88eae0d329f6498484aadb2478b88a831b770073,2.77
0x4405a93240aa5d60dfec5246c74146b14c64534a,2.75
0x8496066ba04809f0dcb69c0ed2115ef25706d4f9,2.70
0xb800c0fb71cc462da98221c2ee233a1a80c0a6da,2.68
0x09b4bc1a153f6bd47ef2bd8d95c6e427234cf9d2,2.60
0x2239ff85f256b0ad09502e6b757ad4c0a747a899,2.59
0x4cad21d92896b28c2ede39794a68d001f0b44e0d,2.56
0xd87e030f901dcf5d9b861bdf76c0386349223f52,2.51
0xca2e350fadc1b4129cd9fe4a6f4ddcd2f5ca11c0,2.45
0xb12ba1b602d235a0e8e2463ad2aeab2944cf5c45,2.39
0xdb350a40eeba7437daa865a4d38c97695a49ac79,2.39
0x061df739496c0ae47babb92c89949611231b337f,2.35
0xa2e3d52183533b738f72e939414db5d6bc334b85,2.30
0xd661570546cfceccb801c02bd043248a36cfbc99,2.21
0xb8260ba1db3078f44b620929a0da3f2e4ea04c87,2.19
0x08f7fb8915097054d8bda24fe181c08d9583199f,2.19
0xd0d1c35e385677437b308450533ba5120c216214,2.18
0x8458fcce2d9f023efdbe71e74573629609bcc1f6,2.08
0xfeee13c929375de915fe65c0ea0cfd83237dd397,2.07
0xa8e9e4d0f213736b463ebeff5b92dc8ef873f772,2.06
0xca5b8793dc2c9f973485b6d2c216c65715f8206b,2.05
0xd1922026ec4b9b9a6deaf45a067e6b52e14cb002,2.05
0xdaa8914c87c66c2cfdab6963d72d8eee6db6449d,2.04
0xd587e16fc003eecc7820b364ae637d9c92b994f6,2.04
0x679e8850e5fbbbd07f599ebda925ed4abb376f2d,2.04
0x4797aa48ecd2ae17bec14c16a18b0a95188c561e,2.00
0x0bb650dc882825bb5a003013cfe5b2341baa8cf1,1.89
0xc71dc34e73b1b5db2dda685d4304432ad27ccf58,3.64
0xc5718ddf9f7bd591ba0d77340c4bc363221bc188,1.77
0x4bb6ecabf68b757b9bac6bd8a06887ab7fb393ab,1.75
0x1d1f178d11487edae105b4c6e6430a7869d76b9b,1.73
0x5ef27fa4e91907b0279af66af0c8a2be887275f8,1.72
0xaddf2b04f9da28764fe15689b70028565afb9f18,1.66
0x4e2e0fe85b51047e2d208b7dc6fbab9f48b659c9,1.64
0x13dbc10303c0c9604df748ca4b1556bd135686d2,1.62
0xd3ade0bb14327e62a2bcd7f258bf776ce5d583f0,1.59
0x6eaeb79e5abb9252314c2eb72e3e503b5cd8b004,1.57
0x9731c3803d44f4398a1d552a626c166e88eaf525,1.56
0x9ca48f139f02508d3f438d3d2b779d0f31b2461a,1.48
0x6d4866564a4c688293ab3b7ef8890e45b3bfb4dd,1.43
0xc1d3f4385b047e3735511ae4bf2d344b0cea4f63,1.43
0x8505716e48e34e0298a78495226a09eba614437f,1.43
0x55d2a296dc6212bb03ddc06f9061920788c21463,1.43
0x835c3bde8ecdb1e84819512761671fef0b07edd0,1.39
0x676e662bebaef16b2f1adbc40dbe6cc756a890ca,1.39
0xa6cc6d10007f55e858c71c209c9fe8295098b678,1.38
0x6b360eabbb2252f9b88eac17e2dc7206735d9724,1.33
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,1.29
0x5389b9158a7cbcb670d3fb312390b39744ac3b05,1.23
0x36db42001dff3b0dc2655f686cddf5eac72dbc2a,1.23
0xfed0e586cb372fd0b17ead9f8cb1347bf8a5937f,1.23
0xe131ae7152b4536cc4bc725944347ae36f562fc1,1.22
0xa8b3a54d79cc8b3d35a581fae518177149739f05,1.21
0xa902479cab22abf7c2b3008b20919405a8c961da,1.21
0x4ba0be223021b31b3a44c79e6210bd1da432cbca,1.20
0xc505873c3511fc943d9d047986b161216dfc3665,1.19
0x3086c88b53bada3c0fe0d7984c253350c86869c3,1.17
0x8d4dc550666608544d558d9818ada318ea6e2e2a,1.16
0x1022a225cd49fa3c73c9094730a16e5f70ff015b,1.14
0x7b61766716e466331a2d302c0c0382af97f30f51,1.14
0x7c72506327ec62a2de666e0cf0a917ab765cf964,1.09
0x5946da15acadd71e81f2c629be4c80c74c5381a0,1.09
0x2348a70005bbe468c36048e0ff7c3b92693b5fe6,1.07
0x529408a6962bae6ca5328874d633738116b89b05,1.06
0x4c66719164fe52a36ad6b1b47c550a9cf4c21a1b,1.06
0xb012b817287c4088a0419ab916b76eec4be70bfe,1.03
0x965dc72531bc322cab5537d432bb14451cabb30d,1.02
0x65d3c81f53ea055d168b8917afc73d75abdccee8,0.99
0x8947ea804f037c83fb41509f4f5e23599460a9a4,0.99
0x15899df50a9ff082f65223ad08b3619daae8663d,0.98
0x5f535e190a445e259c7822f820d7a809290f4b89,0.97
0x3ed9891c37479b03d0f34eccf64d60e57a87958d,0.95
0x2a4b83f560cf1de99731ff3c296c33392dc7ae86,0.92
0xbd5703857b536a0baf7a439b8743c9329ec0efba,0.92
0xd00871bcf484d2efbbdb8bca38992dd47fcb5b8d,0.91
0x0cead33eb6adf4860b6b8f66687f51567e111973,12.53
0xebdca36ea7be9c96b75240355ec1dd5e88dd8e74,0.91
0x2dfe9a6f16499993f98ec87356f37744e4300133,0.90
0xf9b96ec5fb1de747ee41bd2066cf3b72c456e1ac,0.89
0x9d5fe51a4a63bb96da9fed6d5906f8e1e0d1520e,0.87
0x70e58523de64ebc638889e4ecc842e6cad395003,0.87
0x037521861f62e029c95e45bd05290d3c5f9ab3f1,0.86
0x2ca01293c74410478b91e4100a980654eebe08d3,0.83
0xd4bdaa7f7e7c35ee5b9f8c355bcac3ab7f776952,0.83
0x5aa95d92e15f15184a80522caf376a16bc4e5703,0.82
0xe9736bd62bec55081a758ca6836a58a83acd361e,0.82
0xe083990e29a67d7592bb32fc1d60ab6715da522d,0.82
0x405838e6752921a8b12262b258859ecd04856216,0.82
0xc5a11deb1eaacf116fe0c9da6bba95db905befcd,0.82
0xc6c404bb28566f8e03b84560efcfd50a99423840,0.81
0x5e2f0a2810585398a731ff390ea6f2e141db1a86,0.81
0x72b48246e46e3807d561bf3c491d4f357b8535f0,0.80
0x84c9c943b10ad2172b09e639b3b25e02fe0094b5,0.79
0x5d4abfb721cb289dfafac4b9f231da13a2eeb4c2,0.79
0xe74d58420c0b7c5f30bb5d688f8b18739f1087de,0.76
0x0a0cd599b97bcc6fe26c8c6490bc9245e13d8e9e,0.76
0xf6e14fe314b7c92b8cca0479a9b74b16b635f7ab,0.75
0xd2bf3090af009219be6998d0474e09812ba5d1fb,0.73
0x8e4a0750883c63a0dfd294ee751dd433c4ec1e33,0.73
0x5e77831822a9ca0118804f5a95f29dceb0a32c31,0.72
0x76e57689f8d36856ab528befd8a87f5554e80103,0.72
0x025e61c1fba1319f3288b88ec0c59cdb387cd7e1,0.71
0x0f3354350c63c50ff6caf33e95c9cdd3047ea4fd,0.71
0x275c02502bc086256b35c6785ec1a442f5303c7c,0.69
0xe673d59ed552d6d417ea508233397197daa2645b,0.69
0xbf548b0f3ec09ba8f4889bd2d8b6ab9189ba7791,0.68
0x24c8bab958457ecd177b8266f501a7ecc0d62bb2,0.68
0xbfdc7b80a3284aff57c045806a3b99ad446450a2,0.68
0xb9b81118136eef1484664f4ac79eb42afac6eb25,0.68
0xd1f3668e259cc18d53f932ae7d3e6dc0188a61d9,0.65
0x380886e656ce40bd145a9fb85ac7e3dc51d5ee8b,0.65
0x6524e2f42c4bbf71d7848b14a6748b646da3b849,0.65
0x97902ff07e9e9a3b027bc1a9b24ee3d8845c1da5,0.62
0x930849e4a4a166517b0f07609c8634a3978af9af,0.61
0x16a3c50f1ec275335cf2feaf96738de54c6ae9a2,0.59
0x9f55f67e50a79104e599fd47a860dea9946091d5,0.59
0xf339da33318650129933ef0e679e87ba472dd39c,0.55
0xf1220dbbfee8c10fa5aaa1025d614cbd72d62f20,0.55
0x0f2772d4b2c6745713c6d38a5a43a94957810e41,0.55
